,title,rating,gross,votes,stars
1489,Point Break,PG-13,28782481,56566,5.3
1490,Steve Jobs,R,17766658,147764,7.2
1491,The Adventures of Mickey Matson and the Copperhead Treasure,PG,,623,4.9
1492,Air,PG-13,,11490,5.1
1493,Mr. Right,R,25369,47828,6.3
1494,Inside Out,PG,356461711,582429,8.1
1495,"McFarland, USA",PG,44469602,33970,7.4
1496,The Family Fang,R,240067,7504,6.1
1497,A.C.O.R.N.S.: Operation Crackdown,PG,,332,3.7
1498,Knight of Cups,R,558402,23883,5.7
1499,Eaters,R,,527,2.7
1500,Housekeeping,PG-13,,130,4.7
1501,Diamond Ruff,R,,74,4.1
1502,Dark Waves,R,,84,5.1
1503,The Final Girls,PG-13,,32600,6.6
1504,Pixels,PG-13,78747585,127060,5.5
1505,Final Girl,R,,13475,4.7
1506,San Andreas,PG-13,155190832,204392,6
1507,Hidden,R,,18825,6.4
1508,Born to Be Blue,R,830129,7663,6.9
1509,Jane Got a Gun,R,1512815,20151,5.9
1510,Self/less,PG-13,12276810,86332,6.5
1511,Hell and Back,R,156166,4628,5.4
1512,Yellow Day,PG,173819,83,6.1
1513,The Playbook,PG,,81,6
1514,Safelight,R,,1796,5.9
1515,Run All Night,R,26461644,98707,6.6
1516,Guns for Hire,R,,2531,5.6
1517,Louder Than Bombs,R,161789,11416,6.6
1518,Home,PG,177397510,89329,6.6
1519,Wild Card,R,3200,49455,5.6
1520,Nightlight,R,,1868,4.4
1521,Love N Success,R,,10,7.8
1522,Miss You Already,PG-13,1162653,16805,6.8
1523,Sunset Song,R,159257,3187,6.4
1524,Long Way North,PG,,2501,7.3
1525,Magic Mike XXL,R,66013057,50656,5.6
1526,Forsaken,R,,9860,6.3
1527,True Story,R,4715819,60092,6.3
1528,Love the Coopers,PG-13,26284475,19478,5.8
1529,The SpongeBob Movie: Sponge Out of Water,PG,162994032,46680,6
1530,Americons,R,,347,5.1
1531,Minions,PG,336045770,205336,6.4
1532,"En mai, fais ce qu'il te plaît",R,33275,900,6.7
1533,The Gallows,R,22757819,18752,4.2
1534,Fifty Shades of Grey,R,166167230,290452,4.1
1535,Mojave,R,,4150,5.2
1536,Strangerland,R,17472,8430,5.2
1537,Wingman Inc.,R,,293,3.7
1538,Tumbledown,R,135026,6296,6.2
1539,Mississippi Grind,R,129747,19173,6.4
1540,Unfinished Business,R,10214013,30997,5.4
1541,The Intern,PG-13,75764672,208018,7.1
1542,Runaway Hearts,PG,,161,4.6
1543,Super Awesome!,PG,,34,5.9
1544,Spectre,PG-13,200074175,372176,6.8
1545,Brooklyn,PG-13,38317535,125692,7.5
1546,Mission: Impossible - Rogue Nation,PG-13,195042377,330232,7.4
1547,Focus,R,53862963,208058,6.6
1548,He Never Died,R,,16537,6.4
1549,Avengers: Age of Ultron,PG-13,459005868,713396,7.3
1550,Deer in the Headlight,PG-13,,39,7.8
1551,Tracers,PG-13,,18054,5.6
1552,Roommate Wanted,R,,493,4.5
1553,Anomalisa,R,3759286,62464,7.3
1554,Dark Places,R,,40434,6.2
1555,Carol,R,12711491,109576,7.2
1556,Woman in Gold,PG-13,33305037,51637,7.3
1557,The Wolfpack,R,1301696,11615,7
1558,The World Made Straight,R,,1778,5.5
1559,Beyond the Mask,PG,1231025,2767,5
1560,Project Almanac,PG-13,22331028,74187,6.4
1561,Molly Moon and the Incredible Book of Hypnotism,PG,,1027,5.3
1562,Joy,PG-13,56451232,124065,6.6
1563,The Peanuts Movie,G,130178411,40918,7.1
1564,Mi America,R,3330,57,6.4
1565,Man Down,R,,8871,5.9
1566,Paranormal Activity: The Ghost Dimension,R,18300124,23913,4.6
1567,Field of Lost Shoes,PG-13,,1508,5.7
1568,Star Wars: Episode VII - The Force Awakens,PG-13,936662225,837966,7.9
1569,Last Knights,R,,38097,6.2
1570,Burnt,R,13650738,102197,6.6
1571,Broken Horses,R,35000,2020,5.7
1572,Patric,R,,10,6
1573,Hotel Transylvania 2,PG,169700110,101627,6.7
1574,The Gunman,R,10640645,37854,5.8
1575,The Changing of Ben Moore,R,,96,5
1576,A Girl Like Her,PG-13,,6599,7
1577,Identicals,R,,2246,5
1578,The Hit Producer,PG-13,,44,7.3
1579,Meru,R,2332127,14179,7.7
1580,Larry Gaye: Renegade Male Flight Attendant,R,,1226,4.5
1581,Crimson Peak,R,31090320,125334,6.5
1582,Forever,R,,521,5.3
1583,The Second Best Exotic Marigold Hotel,PG,33078266,30381,6.6
1584,Get Hard,R,90411453,117734,6
1585,Me and Earl and the Dying Girl,PG-13,6743776,119011,7.7
1586,Fathers & Daughters,R,,22781,7.1
1587,Dancin': It's On!,PG,,349,2.8
1588,Voiceless,PG-13,418940,219,2.1
1589,A Beautiful Now,R,1504,90,5.4
1590,City of Gold,R,608799,895,7.2
1591,Into the Forest,R,6438,18055,5.8
1592,Ted 2,R,81476385,177628,6.3
1593,Hot Tub Time Machine 2,R,12282677,35929,5.1
1594,Summer Camp,R,,3207,5
1595,The Preppie Connection,R,,3411,6.1
1596,Hitman: Agent 47,R,22467450,83583,5.7
1597,The D Train,R,660994,10402,5
1598,Blackhat,R,7097125,50688,5.4
1599,Moonwalkers,R,,8233,6.1
1600,Everest,PG-13,43482270,190583,7.1
1601,Gridlocked,R,,3781,5.8
1602,The Longest Ride,PG-13,37446117,74101,7.1
1603,Always Watching: A Marble Hornets Story,R,,2641,4.7
1604,Papa Hemingway in Cuba,R,1115516,1326,6.3
1605,Sinister 2,R,27736779,45949,5.3
1606,Backtrack,R,,11262,5.9
1607,Home Sweet Hell,R,,13621,5.4
1608,Furious 7,PG-13,353007020,349957,7.2
1609,Hoovey,PG,,847,5.7
1610,Pitch Perfect 2,PG-13,184296230,137700,6.4
1611,Touched with Fire,R,146070,2192,6.2
1612,Romeo Is Bleeding,PG-13,,98,7.8
1613,Amy,R,8413144,46724,7.8
1614,Mistress America,R,2461121,24397,6.7
1615,Shaun the Sheep Movie,PG,19375982,35737,7.3
1616,Macbeth,R,1108247,51392,6.6
1617,Nina Forever,R,,4314,5.6
1618,Yip Man 3,PG-13,2679437,45382,7.1
1619,A Horse for Summer,PG,,144,4.7
1620,Insurgent,PG-13,130179072,210440,6.2
1621,Le dernier loup,PG-13,210591,5348,6.7
1622,Subconscious,R,,329,2.3
1623,The Dressmaker,R,2021399,50617,7.1
1624,Tiger House,R,,3793,5.2
1625,Kidnapping Mr. Heineken,R,,18800,6.1
1626,The Lazarus Effect,PG-13,25799043,39832,5.2
1627,Bazodee,PG-13,,251,6.6
1628,Hayride 2,R,1668,641,2.9
1629,Superfast!,PG-13,,8461,4.1
1630,Far from the Madding Crowd,PG-13,12229314,43272,7.1
1631,The Transporter Refueled,PG-13,16029670,37970,5.2
1632,The Rise of the Krays,R,,1758,4.9
1633,Assassin's Game,R,,117,3
1634,Life,R,,7103,6.1
1635,Bravetown,R,,3581,6.2
1636,Visions,R,,9577,5.3
1637,Hot Pursuit,PG-13,34507079,46963,5.1
1638,Alvin and the Chipmunks: The Road Chip,PG,85886987,15918,5
1639,Bill,PG,,1873,6.5
1640,Twinsters,PG-13,,4624,7.5
1641,Lion,R,,,
1642,Yosemite,R,12153,758,4.8
1643,No Stranger Than Love,R,,2122,4.9
1644,Mia madre,R,301664,6638,6.8
1645,Stonewall,R,186354,3297,5.2
1646,Quitters,R,,192,5.4
1647,Nietzermann,PG,,45,7.3
1648,Unbranded,PG-13,,1326,7.4
1649,Pressure,R,,4827,5.6
1650,Ovation,R,,55,5.6
1651,Club Life,R,,481,4.8
1652,Mortdecai,R,7605668,64711,5.5
1653,Prince Adventures: Anointed,PG,,7,6.1
1654,The Wannabe,R,,1517,5.1
1655,Man Up,R,,47195,6.8
1656,He Named Me Malala,PG-13,2642899,4387,6.9
1657,Hardcore Henry,R,9252038,83285,6.7
1658,Mighty Mighty Monsters in Pranks for the Memories,G,,9,4.6
1659,Creed,PG-13,109767581,238966,7.6
1660,Suffragette,PG-13,4693356,36603,6.9
1661,Spy,R,110825712,223660,7
1662,Almost Holy,R,11738,442,7.5
1663,The Program,R,,15588,6.5
1664,See You in Valhalla,R,,2110,5.3
1665,The Scorpion King 4: Quest for Power,PG-13,,2764,4.1
1666,Pain,Unrated,,22,7.8
1667,Echoes of War,R,,1129,5.4
1668,What Lola Wants,R,,243,4.8
1669,Skin Traffik,R,,1330,4.3
1670,Nasty Baby,R,79800,2170,5.6
1671,Bucky and the Squirrels,PG,,64,4.3
1672,Misery Loves Comedy,PG-13,5300,1076,6.3
1673,No Way Jose,R,,657,4.5
1674,Staten Island Summer,R,,6525,5.6
1675,Desierto,R,1828933,8858,6
1676,Underdog Kids,PG,,352,4.3
1677,Rise of the Footsoldier Part II,R,,1324,5.3
1678,Trainwreck,R,110212700,126455,6.2
1679,Walt Before Mickey,PG,,5583,5.9
1680,Before We Were Kings,PG,,,
1681,The True Cost,PG-13,,6351,7.7
1682,Rock the Kasbah,R,2982281,10292,5.5
1683,Skid,PG-13,,42,6
1684,Sleeping with Other People,R,814775,38796,6.5
1685,Mr. Holmes,PG,17737646,60068,6.9
1686,Incidencias,R,,476,4.2
1687,Room,R,14677674,348860,8.1
1688,The Diary of a Teenage Girl,R,1477002,28555,6.9
1689,The Path of the Sun,R,,,
1690,The Boy Next Door,R,35385560,36847,4.7
1691,The Dog Wedding,PG-13,29495,70,7.5
1692,Insidious: Chapter 3,PG-13,52218558,89306,6.1
1693,Just Let Go,PG-13,,224,7
1694,Lumberjack Man,R,,1180,4.2
1695,Salvation Street,PG,,248,3.1
1696,Trumbo,R,7857741,72881,7.5
1697,Slow West,R,229094,40899,6.9
1698,Bikini Model Academy,PG-13,,1116,2.1
1699,Curve,R,,6367,5.4
1700,Victor,PG-13,111594,266,6.5
1701,Spare Parts,PG-13,3610933,10080,7.3
1702,I'll See You in My Dreams,PG-13,7425963,6715,6.7
1703,Survivor,PG-13,,30217,5.6
1704,The Squeeze,PG-13,,522,5.3
1705,"Sex, Death and Bowling",R,5236,340,5.3
1706,Don't Worry Baby,R,,316,5.3
1707,A Light Beneath Their Feet,R,,336,6.5
1708,Memoria,R,,505,5.1
1709,Brotherly Love,R,444044,1678,6.6
1710,Captive,PG-13,2557668,6303,5.4
1711,Heist,R,,26489,6.1
1712,Creative Control,R,62480,2032,5.4
1713,Tale of Tales,R,80809,25486,6.4
1714,The Adventures of Pepper and Paula,PG,,80,6.7
1715,The Blackcoat's Daughter,R,19980,16824,5.9
1716,Jenny's Wedding,PG-13,2254,10109,5.5
1717,Equals,PG-13,32095,26237,6.1
1718,Hrútar,R,141922,12013,7.3
1719,Jane Wants a Boyfriend,R,,1923,6.8
1720,Poker Face,PG-13,,11,8.5
1721,Youth,R,2698509,68778,7.3
1722,American Ultra,R,14434604,81600,6.1
1723,Anesthesia,R,22386,4163,6.1
1724,Regression,R,54734,35792,5.7
1725,MI-5,R,,20621,6.2
1726,Concussion,PG-13,34542474,82951,7.1
1727,Blue,R,,53,6.2
1728,Infini,R,,13676,5.4
1729,Pan,PG,35088320,58409,5.7
1730,Boom Bust Boom,G,,443,7.1
1731,Entertainment,R,44242,2627,5.7
1732,Zipper,R,,6510,5.7
1733,N.O.L.A Circus,PG,,85,4.7
1734,One Last Sunset Redux,R,,68,4.2
1735,Stealing Cars,R,,1086,5.7
1736,Before the Bomb,G,,17,7.9
1737,The Sabbatical,R,,34,6.7
1738,Awaken,R,,1409,3.3
1739,Max,PG,42652003,25123,6.7
1740,Gnome Alone,R,,313,3.4
1741,Killers at Play,R,,22,6.8
1742,Honeyglue,R,,509,6.3
1743,The Man in 3B,R,289575,578,5.2
1744,The Blackburn Asylum,R,,462,3.8
1745,A Greener Pasture,PG-13,,,
1746,Tod den Hippies!! Es lebe der Punk!,PG-13,,609,5.7
1747,Ten Thousand Saints,R,59333,5176,5.9
1748,Sicario,R,46889293,354166,7.6
1749,Harbinger Down,R,,5436,4.5
1750,Zombie Ninjas vs Black Ops,R,,1091,6.8
1751,German Angst,R,,1515,5.3
1752,Terminus,R,,5980,5.4
1753,Oddball,PG,,2388,6.4
1754,All Creatures Big and Small,G,,3978,5.8
1755,Ktown Cowboys,R,18400,79,6.7
1756,The End of the Tour,R,2993669,27654,7.3
1757,Pocket Listing,R,,4031,6.7
1758,Toro Loco: Bloodthirsty,R,,36,5.7
1759,April and the Extraordinary World,PG,294313,6336,7.3
1760,La delgada línea amarilla,PG-13,,1234,7.4
1761,Happy,R,,200,4.9
1762,Reborn,R,,18,6.7
1763,Lila & Eve,R,37934,7612,5.8
1764,Paul Blart: Mall Cop 2,PG,71038190,33003,4.4
1765,The Sea of Trees,PG-13,20083,12686,6.1
1766,10 Days in a Madhouse,R,14616,1058,6.5
1767,The Hateful Eight,R,54117416,489334,7.8
1768,Finders Keepers,R,35555,2331,6.8
1769,Black and Cuba,PG,,24,8
1770,The Lobster,R,8699235,204895,7.2
1771,Extinction,R,,15451,5.8
1772,47 Minutes,PG-13,,13,8
1773,Maggie's Plan,R,3351230,15298,6.2
1774,Millie and the Lords,PG,,28,7.7
1775,Vice,R,,15046,4.2
1776,Ma ma,R,46476,3685,6.4
1777,Chocolate City,R,212223,990,3.9
1778,Pound of Flesh,R,,5840,5.1
1779,The Walk,PG,10137502,115925,7.3
1780,The Intruders,PG-13,,2564,4.6
1781,The Walking Deceased,R,,3031,3.5
1782,Ithaca,PG,,2369,5.5
1783,Absolution,R,,2947,4.5
1784,A Girl Like Grace,PG-13,,451,5.9
1785,Last Days in the Desert,PG-13,,3546,5.6
1786,Getting Out,R,,37,5.4
1787,Best of Enemies,R,891997,5742,7.6
1788,Bad Ass 3: Bad Asses on the Bayou,R,,2252,5.3
1789,The Marine 4: Moving Target,R,,3265,5.2
1790,Meadowland,R,,3630,5.8
1791,The Night Before,R,43035725,62684,6.4
1792,Don Verdean,PG-13,,4661,5.4
1793,Scary Little Fuckers,R,,31,5.8
1794,Pod,R,,3276,4.4
1795,45 Years,R,4250507,29789,7.1
1796,Freeway: Crack in the System,R,,774,7.1
1797,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,PG-13,1161574,634,7.7
1798,Moose,PG,,35,7.5
1799,Unnatural,R,,1681,3.9
1800,Dare to Dream,PG-13,,,
1801,Don't Grow Up,R,,1002,4.6
1802,Tiempo sin aire,R,,290,6.4
1803,Tooken,R,,1490,3.6
1804,Welcome to Happiness,PG-13,,630,6.1
1805,The Visit,PG-13,65206105,108865,6.2
1806,Legend,R,1872994,150784,6.9
1807,Bilal: A New Breed of Hero,PG-13,490515,16980,7.9
1808,A Perfect Day,R,,19597,6.8
1809,Only God Can,PG,,48,6.2
1810,Night Owls,R,,2159,6.2
1811,Dial a Prayer,PG-13,,838,5.3
1812,Street,PG-13,,828,4.6
1813,Eun-mil-han yu-hok,PG-13,,412,6.2
1814,Winter Light,PG,,47,7.5
1815,Knock Knock,R,36336,75067,4.9
1816,Owl River Runners,PG-13,,17,8.1
1817,Jem and the Holograms,PG,2184640,7122,4.1
1818,Hâmonî,R,23248,721,6.1
1819,Dartmoor Killing,R,,399,4.4
1820,The Wave,R,176637,31317,6.7
1821,Neighborhood Watch,R,,,
1822,Paper Towns,PG-13,32000304,92365,6.3
1823,Ricki and the Flash,PG-13,26822144,21871,5.9
1824,The Man with the Iron Fists 2,R,,3753,4.4
1825,MindGamers,R,,759,3.7
1826,Suspension,R,,285,4.5
1827,Guardianes de Oz,PG,,210,4.5
1828,Stranger in the House,PG-13,,239,4.3
1829,I Smile Back,R,57678,4815,6.1
1830,Debris,PG,,,
1831,The Closer,R,,35,6.6
1832,The Martian,PG-13,228433663,729993,8
1833,Monkey Kingdom,G,16427836,3599,7.3
1834,Septembers of Shiraz,PG-13,,3652,6.1
1835,Fotograf,R,,340,6.2
1836,Pacific Edge,PG,,5,7.4
1837,InDemand,PG-13,,,
1838,Dragon Blade,R,74068,17797,6
1839,La porte d'Anna,G,,,
1840,Yakuza Apocalypse,R,,3606,5.5
1841,Dog Bowl,R,,21,6.6
1842,Bridge of Spies,PG-13,72313754,277160,7.6
1843,600 Miles,R,,2142,5.4
1844,The Driftless Area,R,,1739,5.3
1845,The Runner,R,,4870,4.7
1846,Miss Hokusai,PG-13,216202,2724,6.7
1847,Blinky Bill the Movie,PG,,665,5
1848,Christmas Eve,PG,,2246,5
1849,Remember,R,637555,21428,7.5
1850,Digging for Fire,R,119364,5441,5.8
1851,By the Sea,R,531009,17787,5.3
1852,A Horse Tale,G,,170,5.3
1853,Ghosthunters: On Icy Trails,PG,,788,5.4
1854,Irrational Man,R,4027764,55979,6.6
1855,My All-American,PG,2246000,5637,7.2
1856,The Clown,G,,23,5.4
1857,The Beach of the Drowned,R,,784,6
1858,The Lady in the Van,PG-13,10017675,24812,6.7
1859,Pups United,PG,,91,4.2
1860,Experimenter,PG-13,155075,16919,6.6
1861,Life on the Line,R,,4398,5.2
1862,Zero Tolerance,R,,1581,4.1
1863,Ava's Possessions,R,,2788,5.6
1864,The Last Hero,PG-13,,,
1865,Puerto Ricans in Paris,R,102890,1611,5.3
1866,A Clear View the Mark Barmore Story,R,,,
1867,A Brave Heart: The Lizzie Velasquez Story,PG-13,,447,7.2
1868,Carter High,PG-13,340214,471,5.1
1869,Freetown,PG-13,387130,1195,4.7
1870,The Price,PG-13,,7,8
1871,The Second Mother,R,375723,12244,7.8
1872,Vendetta,R,,2814,4.7
1873,The Legend of Kate Kensington,PG,,18,8
1874,Hitchcock/Truffaut,PG-13,304899,5467,7.3
1875,Ride the Thunder,PG-13,,188,7.1
1876,Tvíliðaleikur,R,,14,5.1
1877,Our Little Sister,PG,461263,11260,7.5
1878,"Hello, My Name Is Doris",R,14443077,18258,6.6
1879,Burning Bodhi,R,3289,413,4.9
1880,Ashby,R,4631,14360,6.4
1881,Knick-Knacks,PG,,,
1882,War Pigs,R,,2977,4.2
1883,Kingdom of Shadows,PG-13,,94,6.7
1884,We Are Your Friends,R,3590010,34653,6.2
1885,Az éjszakám a nappalod,R,,133,5
1886,La tête haute,R,24013,3179,7
1887,Brand: A Second Coming,R,,893,5.8
1888,Basic Human Needs,PG-13,,22,7.3
1889,The Steps,R,,448,6
1890,Stonerz,PG-13,,14,1.6
1891,Noon Gun,PG-13,,6,6.7
1892,Saul fia,R,1777043,43050,7.5
1893,Sabrás qué hacer conmigo,R,,482,6.5
1894,Cop Car,R,128002,29180,6.3
1895,"My Enemy, My Brother",PG-13,,72,8.3
1896,"Guerre du Vietnam, au coeur des négotiations secrètes",PG,,7,7.3
1897,Results,R,103887,6221,5.4
1898,Tangerine,R,701837,25373,7.1
1899,The Girl in the Photographs,R,,3444,4.4
1900,Artifice: Loose Fellowship and Partners,PG-13,,16,2.6
1901,Dragonheart 3: The Sorcerer's Curse,PG-13,,3195,5.1
1902,"Baby, Baby, Baby",R,,666,5.7
1903,Krigen,R,122902,9407,7.1
1904,War Room,PG,67790117,12746,6.5
1905,Never Let Go,R,,675,5.3
1906,Jack of the Red Hearts,PG,,1876,7.1
1907,Ratter,R,,7800,5.5
1908,Invoked,R,,594,3.4
1909,Land of Mine,R,435266,32541,7.8
1910,The Overnight,R,1100000,15479,6.1
1911,Locksmiths,PG-13,,27,8.1
1912,Washoku dorîmu,G,11132,40,7.2
1913,Candy Apple,R,,10,6.8
1914,Dope,R,17474107,79110,7.2
1915,Chronic,R,8835,2769,6.6
1916,Krampus,PG-13,42592530,59609,6.1
1917,Truth,R,2541554,18017,6.8
1918,The Bronze,R,615654,9523,6.1
1919,FSM,PG-13,,22,7.8
1920,The Perfect Guy,PG-13,57017904,9500,5.6
1921,Lazer Team,PG-13,1149878,8987,5.6
1922,Haunted Mansion,PG-13,,81,5.8
1923,The Cokeville Miracle,PG-13,1348625,2044,5.2
1924,Justice League: Throne of Atlantis,PG-13,,18678,6.7
1925,Microbe et Gasoil,R,57491,2350,6.7
1926,Batkid Begins: The Wish Heard Around the World,PG,73002,1557,6.8
1927,The Witch Chronicles,PG-13,,15,5.4
1928,Random,R,,9,5.7
1929,Broken Mirror: A Dontae Hawkins Film,R,,,
1930,Capture the Flag,PG,,3350,5.8
1931,Gayby Baby,PG,,723,6.5
1932,La Rectora,PG-13,,19,6
1933,I Am Good,R,,,
1934,Lamb,R,14547,1784,6.3
1935,Sister Code,R,,361,4.6
1936,Parallel Dreams,G,,,
1937,Doghouse,R,,15,5.8
1938,Bastard,R,,847,4.6
1939,Black Beauty,PG,,209,3.7
1940,12 Rounds 3: Lockdown,R,,3594,5.2
1941,David and Goliath,PG,316100,1827,4.4
1942,Mustang,PG-13,845464,33877,7.6
1943,American Violence,R,,7,6.3
1944,Dorihwaga,PG-13,,177,6.3
1945,Detective Marañón,PG-13,,19,6.1
1946,Occupants,PG-13,,526,5.2
1947,Looking for Grace,PG-13,,320,5.3
1948,Once I Was a Beehive,PG,732655,1080,6.2
1949,Colonia,R,,45344,7.1
1950,Jeremy Scott: The People's Designer,PG-13,,323,6.4
1951,Frozen Fever,G,,13720,6.9
1952,Intruders,R,,11061,5.7
1953,Rhodes Learns from the Things,G,,12,9.2
1954,In Pursuit of Silence,PG,29440,380,7.2
1955,Habana Instant,R,,18,7.7
1956,Four Warriors,PG-13,,375,2.7
1957,The Alpha Invention,PG,,27,7.8
1958,Hyena Road,R,1430,6720,6.5
1959,How to Make a Deal with the Devil,PG-13,,,
1960,Glimpse,R,,14,4.6
1961,Maze Runner: The Scorch Trials,PG-13,81697192,213232,6.3
1962,Trois souvenirs de ma jeunesse,R,268548,3043,6.8
1963,Coming Through the Rye,PG-13,4000,802,6.3
1964,Mermaids on Mars,G,,6,7.8
1965,Do You Believe?,PG-13,12985267,6886,6.1
1966,Top Cat Begins,PG,,479,4.2
1967,Ange et Gabrielle,G,,777,5.8
1968,Blackway,R,16458,8643,5.3
1969,Election Night,G,,8,5.9
1970,Green Room,R,3219029,101049,7
1971,Antes del fuego,PG-13,,59,6.3
1972,"Gandhi, Untouchables and Me",PG-13,,,
1973,The Tentmakers of Cairo,G,,13,7.3
1974,Andron,R,,2741,2.7
1975,The Ocean of Helena Lee,PG-13,,42,6.9
1976,Diablo,R,,4535,4.5
1977,Beverly Hills Christmas,PG,,401,3
1978,Green with Envy,R,,,
1979,Dogs' Breakfast,R,,27,5.8
1980,A Man Called Ove,PG-13,3358518,43743,7.7
1981,Dheepan,R,247597,13490,7.2
1982,"Belle et Sébastien, l'aventure continue",PG,,1079,6.6
1983,Frankenstein,R,,2313,5.1
1984,Rainbow Party,R,,53,7.5
1985,Chatty Catties,R,,70,7.7
1986,The Return,PG-13,,39,6.3
1987,Jeffrey Kills a Guy,R,,,
1988,Cabin Fear,R,,341,3.6
1989,People Places Things,R,,7773,6.9
1990,Next/Door,PG-13,,7,8.7
1991,Merry Xmas,G,,25,7
1992,All Roads Lead to Rome,PG-13,,4868,4.9
1993,Lobos sucios,R,,198,5.7
1994,Day One,PG-13,,756,6.8
1995,Cartel Land,R,704352,17429,7.4
1996,The Ones Below,R,12089,8621,6.1
1997,Mia oikogeneiaki ypothesi,G,,54,8.2
1998,Dark Horse,PG,,949,7.3
1999,Nixon's Coming,PG,,,
2000,Unexpected,R,,2992,5.7
2001,Fan Girl,PG-13,,539,4.7
2002,The Condemned 2,R,,2367,4.2
2003,The Red Thunder,PG,,37,7
2004,Abraham's Desert,PG,,,
2005,W 3sixty5,PG-13,,,
2006,Heart of Surfing,G,,,
2007,Around Every Corner,R,,26,7.2
2008,Erased,R,,12,7.4
2009,3 Generations,PG-13,66371,5601,5.9
2010,Detectives Club,G,,7,7.4
2011,Tales of Halloween,R,,11161,5.5
2012,Dead Mirror Suite,R,,7,10
2013,World of Tomorrow,G,,8463,8.1
2014,Warning Labels,PG-13,,78,7.8
2015,The Chosen,R,,2007,3.5
2016,The Gift,R,43771291,132387,7
2017,Tremors 5: Bloodlines,PG-13,,6390,5.3
2018,Woodlawn,PG,14393862,6404,6.5
2019,Smosh: The Movie,PG-13,,5911,3.3
2020,Madea's Tough Love,PG,,315,5.1
2021,Are You Listening,PG-13,,,
2022,The Hunting Ground,PG-13,405917,5776,7.4
2023,I Am the Flash,PG,,,
2024,Come Away With Me,G,,6,9
2025,Strange Magic,PG,12427046,9788,5.8
2026,The People Vs. Fritz Bauer,R,277636,4258,7.1
2027,Chicas paranoicas,R,,146,7.4
2028,Four Blood Moons,PG,,148,4.6
2029,Corazón Muerto,R,,76,5.9
2030,Every Day,PG,,15,7.5
2031,Les cowboys,R,73725,1901,6.7
2032,On the Border,PG-13,,10,9
2033,De mujer a mujer,PG-13,,,
2034,Endorphine,PG,,615,6.1
2035,I Miss Me,R,,,
2036,Russell Madness,PG,,544,4.2
2037,The VVitch: A New-England Folktale,R,25138292,183214,6.9
2038,In My Father's House,R,,75,6.9
2039,Krisha,R,140779,7072,7.2
2040,Tainted Love,PG-13,,7,6.6
2041,Grandma,R,6980421,14227,6.7
2042,The Boy and the Beast,PG-13,446142,19007,7.7
2043,I Have Seen My Last Born,PG,,5,7.4
2044," Goede tijden, slechte tijden",G,,,
2045,Seasons,PG,119091,1440,7.3
2046,Poached,PG-13,,27,6.6
2047, American Experience,PG,,168,7.2
2048,A Spiritual Matter,R,,65,5.8
2049,Isolation,R,,834,4.6
2050,The Warning,G,,112,3.5
2051,James White,R,94464,5707,7.1
2052,Heartbreak & Beauty,PG,,,
2053,Ladrones,PG-13,3058367,249,5.1
2054,The Magician's Son,PG,,,
2055,Lo que nunca nos dijimos,R,,23,6.3
2056,Turtle Tale,PG,,34,6.1
2057,Oneului yeonae,G,32211,1090,6.2
2058,Batman vs. Robin,PG-13,,18285,7.1
2059,Justice League: Gods and Monsters,PG-13,,12785,7
2060,Stewart & Paul,PG-13,,,
2061,Your Place or Mine?,PG,,26,4.3
2062,Oceanus: Act One,PG-13,,26,8.5
2063,When does Love begin?,R,,,
2064,Ror door khao chon pee thi khao chon kai,R,,49,4.4
2065,Viva,R,177062,1566,7.3
2066,90 Minutes in Heaven,PG-13,4700361,3295,4.8
2067,A Month of Sundays,PG-13,,347,6
2068,Tragic Theater,PG,,60,3.2
2069,Chain of Command,R,,1295,3.5
2070,Miss Granny,PG-13,234573,1030,6.6
2071,Nowy swiat,G,,56,5.1
2072,A la mala,PG-13,3599835,2280,6.3
2073,Daddy's Little Girl,R,,11,9.3
2074, CrazyJoshCravy,G,,,
2075, CrazyJoshCravy,PG,,,
2076,Double Life,PG-13,,,
2077,Shuggie Otis: Live in Williamsburg,G,,,
2078,Se nos armó la gorda,PG-13,,49,5
2079,Extraction,R,,9437,4.1
2080,R.L. Stine's Monsterville: Cabinet of Souls,PG,,1766,5.7
2081,Una Boda en Castañer,PG-13,,98,7.2
2082, O.K.J.W.,G,,,
2083,The Clan,R,186255,11622,7
2084,It Had to Be You,R,,894,5.4
2085,Seumool,R,136125,1732,6.8
2086,The Land of Many Palaces,PG,,26,7.9
2087,Loyal to the Game,PG-13,,7,9.6
2088,Steve Jobs: The Man in the Machine,R,494461,5661,6.9
2089,Foreign Sounds,PG-13,,,
2090,Marguerite,R,496161,4768,7
2091,Song of Lahore,PG,,166,7.2
2092,The Nightingale and the Rose,PG-13,,64,7.8
2093,Keep Running,PG-13,,5,6.4
2094,Meine Tochter Anne Frank,PG-13,,193,6.6
2095,Street Level,R,,110,5.9
2096,Hulk Blood Tapes,R,,46,2.8
2097,Wild Horses,R,,3075,4.8
2098,The Last Post,PG,,8,7.8
2099,Numbers,PG-13,,,
2100,Bark Ranger,PG,,136,4
2101,Tomorrow,G,43471,3065,8
2102,Wings of the Wind,G,,27,3.9
2103,El Jeremías,PG-13,,617,7.2
2104,Barmen,R,,454,5.4
2105,The Right Girl,G,,594,6.4
2106, Escape to the Country,G,,,
2107,The Dog Who Saved Summer,PG,,113,4.2
2108, República deportiva,PG,,,
